"filename", "language", "CSS", "JavaScript", "PHP", "Markdown", "JSON", "XML", "comment", "blank", "total"
"c:\xampp\htdocs\atrodicelabiedru\public\css\placescreate.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\atrodicelabiedru\public\css\postscreate.css", "CSS", 261, 0, 0, 0, 0, 0, 7, 37, 305
"c:\xampp\htdocs\atrodicelabiedru\public\css\registration.css", "CSS", 133, 0, 0, 0, 0, 0, 0, 3, 136
"c:\xampp\htdocs\atrodicelabiedru\public\css\welcome.css", "CSS", 417, 0, 0, 0, 0, 0, 15, 69, 501
"c:\xampp\htdocs\atrodicelabiedru\public\index.php", "PHP", 0, 0, 14, 0, 0, 0, 30, 12, 56
"c:\xampp\htdocs\atrodicelabiedru\resources\css\app.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\atrodicelabiedru\resources\js\app.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\xampp\htdocs\atrodicelabiedru\resources\js\bootstrap.js", "JavaScript", 0, 5, 0, 0, 0, 0, 22, 8, 35
"c:\xampp\htdocs\atrodicelabiedru\resources\js\welcome.js", "JavaScript", 0, 31, 0, 0, 0, 0, 3, 3, 37
"c:\xampp\htdocs\atrodicelabiedru\resources\views\Places\Index.blade.php", "PHP", 0, 0, 44, 0, 0, 0, 0, 1, 45
"c:\xampp\htdocs\atrodicelabiedru\resources\views\Places\create.blade.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 2, 29
"c:\xampp\htdocs\atrodicelabiedru\resources\views\Places\edit.blade.php", "PHP", 0, 0, 28, 0, 0, 0, 0, 1, 29
"c:\xampp\htdocs\atrodicelabiedru\resources\views\Places\show.blade.php", "PHP", 0, 0, 29, 0, 0, 0, 0, 1, 30
"c:\xampp\htdocs\atrodicelabiedru\resources\views\Posts\Index.blade.php", "PHP", 0, 0, 63, 0, 0, 0, 0, 2, 65
"c:\xampp\htdocs\atrodicelabiedru\resources\views\Posts\create.blade.php", "PHP", 0, 0, 70, 0, 0, 0, 0, 1, 71
"c:\xampp\htdocs\atrodicelabiedru\resources\views\Posts\edit.blade.php", "PHP", 0, 0, 71, 0, 0, 0, 0, 1, 72
"c:\xampp\htdocs\atrodicelabiedru\resources\views\Posts\show.blade.php", "PHP", 0, 0, 42, 0, 0, 0, 0, 1, 43
"c:\xampp\htdocs\atrodicelabiedru\resources\views\User\Index.blade.php", "PHP", 0, 0, 65, 0, 0, 0, 0, 2, 67
"c:\xampp\htdocs\atrodicelabiedru\resources\views\User\edit.blade.php", "PHP", 0, 0, 55, 0, 0, 0, 0, 1, 56
"c:\xampp\htdocs\atrodicelabiedru\resources\views\User\show.blade.php", "PHP", 0, 0, 38, 0, 0, 0, 0, 1, 39
"c:\xampp\htdocs\atrodicelabiedru\resources\views\Vehicle\Vehicle.blade.php", "PHP", 0, 0, 44, 0, 0, 0, 0, 1, 45
"c:\xampp\htdocs\atrodicelabiedru\resources\views\Vehicle\create.blade.php", "PHP", 0, 0, 26, 0, 0, 0, 0, 1, 27
"c:\xampp\htdocs\atrodicelabiedru\resources\views\Vehicle\edit.blade.php", "PHP", 0, 0, 28, 0, 0, 0, 0, 1, 29
"c:\xampp\htdocs\atrodicelabiedru\resources\views\Vehicle\show.blade.php", "PHP", 0, 0, 29, 0, 0, 0, 0, 1, 30
"c:\xampp\htdocs\atrodicelabiedru\resources\views\auth\login.blade.php", "PHP", 0, 0, 57, 0, 0, 0, 0, 4, 61
"c:\xampp\htdocs\atrodicelabiedru\resources\views\auth\registration.blade.php", "PHP", 0, 0, 88, 0, 0, 0, 0, 4, 92
"c:\xampp\htdocs\atrodicelabiedru\resources\views\navbar\app.blade.php", "PHP", 0, 0, 62, 0, 0, 0, 0, 2, 64
