"filename", "language", "JavaScript", "PHP", "CSS", "Markdown", "JSON", "XML", "comment", "blank", "total"
"c:\xampp\htdocs\atrodicelabiedru\bootstrap\app.php", "PHP", 0, 17, 0, 0, 0, 0, 30, 9, 56
"c:\xampp\htdocs\atrodicelabiedru\composer.json", "JSON", 0, 0, 0, 0, 65, 0, 0, 1, 66
"c:\xampp\htdocs\atrodicelabiedru\composer.lock", "JSON", 0, 0, 0, 0, 7839, 0, 0, 1, 7840
"c:\xampp\htdocs\atrodicelabiedru\config\app.php", "PHP", 0, 48, 0, 0, 0, 0, 134, 34, 216
"c:\xampp\htdocs\atrodicelabiedru\config\auth.php", "PHP", 0, 28, 0, 0, 0, 0, 70, 14, 112
"c:\xampp\htdocs\atrodicelabiedru\config\broadcasting.php", "PHP", 0, 35, 0, 0, 0, 0, 23, 13, 71
"c:\xampp\htdocs\atrodicelabiedru\config\cache.php", "PHP", 0, 58, 0, 0, 0, 0, 34, 19, 111
"c:\xampp\htdocs\atrodicelabiedru\config\cors.php", "PHP", 0, 3, 0, 0, 0, 0, 29, 3, 35
"c:\xampp\htdocs\atrodicelabiedru\config\database.php", "PHP", 0, 83, 0, 0, 0, 0, 47, 22, 152
"c:\xampp\htdocs\atrodicelabiedru\config\filesystems.php", "PHP", 0, 32, 0, 0, 0, 0, 32, 13, 77
"c:\xampp\htdocs\atrodicelabiedru\config\hashing.php", "PHP", 0, 12, 0, 0, 0, 0, 32, 9, 53
"c:\xampp\htdocs\atrodicelabiedru\config\logging.php", "PHP", 0, 70, 0, 0, 0, 0, 34, 19, 123
"c:\xampp\htdocs\atrodicelabiedru\config\mail.php", "PHP", 0, 53, 0, 0, 0, 0, 47, 19, 119
"c:\xampp\htdocs\atrodicelabiedru\config\queue.php", "PHP", 0, 47, 0, 0, 0, 0, 32, 15, 94
"c:\xampp\htdocs\atrodicelabiedru\config\sanctum.php", "PHP", 0, 15, 0, 0, 0, 0, 41, 12, 68
"c:\xampp\htdocs\atrodicelabiedru\config\services.php", "PHP", 0, 17, 0, 0, 0, 0, 11, 7, 35
"c:\xampp\htdocs\atrodicelabiedru\config\session.php", "PHP", 0, 22, 0, 0, 0, 0, 147, 33, 202
"c:\xampp\htdocs\atrodicelabiedru\config\view.php", "PHP", 0, 10, 0, 0, 0, 0, 20, 7, 37
"c:\xampp\htdocs\atrodicelabiedru\database\factories\UserFactory.php", "PHP", 0, 23, 0, 0, 0, 0, 13, 5, 41
"c:\xampp\htdocs\atrodicelabiedru\database\migrations\001_create_users_table.php", "PHP", 0, 24, 0, 0, 0, 0, 10, 4, 38
"c:\xampp\htdocs\atrodicelabiedru\database\migrations\002_add_role_to_users.php", "PHP", 0, 19, 0, 0, 0, 0, 10, 4, 33
"c:\xampp\htdocs\atrodicelabiedru\database\migrations\003_create_places_table.php", "PHP", 0, 19, 0, 0, 0, 0, 10, 4, 33
"c:\xampp\htdocs\atrodicelabiedru\database\migrations\004_create_vehicle_table.php", "PHP", 0, 19, 0, 0, 0, 0, 10, 4, 33
"c:\xampp\htdocs\atrodicelabiedru\database\migrations\005_add_column_soft_deletes_to_vehicle_table.php", "PHP", 0, 19, 0, 0, 0, 0, 10, 4, 33
"c:\xampp\htdocs\atrodicelabiedru\database\migrations\006_create_posts_table.php", "PHP", 0, 26, 0, 0, 0, 0, 11, 5, 42
"c:\xampp\htdocs\atrodicelabiedru\database\migrations\007_12_29_223253_add_columns_for_images_to_posts_table.php", "PHP", 0, 19, 0, 0, 0, 0, 10, 4, 33
