"filename", "language", "PHP", "JavaScript", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\atrodicelabiedru\resources\views\Places\create.blade.php", "PHP", 5, 0, 0, 0, -1, 4
"c:\xampp\htdocs\atrodicelabiedru\resources\views\Places\edit.blade.php", "PHP", 6, 0, 0, 0, 0, 6
"c:\xampp\htdocs\atrodicelabiedru\resources\views\Places\show.blade.php", "PHP", 7, 0, 0, 0, 0, 7
"c:\xampp\htdocs\atrodicelabiedru\resources\views\Posts\Index.blade.php", "PHP", 11, 0, 0, 0, 1, 12
"c:\xampp\htdocs\atrodicelabiedru\resources\views\Posts\create.blade.php", "PHP", 25, 0, 0, 0, 0, 25
"c:\xampp\htdocs\atrodicelabiedru\resources\views\Posts\edit.blade.php", "PHP", 10, 0, 0, 0, 0, 10
"c:\xampp\htdocs\atrodicelabiedru\resources\views\Posts\show.blade.php", "PHP", 24, 0, 0, 0, 0, 24
"c:\xampp\htdocs\atrodicelabiedru\resources\views\SafeTrip.blade.php", "PHP", 22, 0, 0, 0, 0, 22
"c:\xampp\htdocs\atrodicelabiedru\resources\views\User\Index.blade.php", "PHP", -23, 0, 0, 0, -1, -24
"c:\xampp\htdocs\atrodicelabiedru\resources\views\User\edit.blade.php", "PHP", 5, 0, 0, 0, 0, 5
"c:\xampp\htdocs\atrodicelabiedru\resources\views\User\show.blade.php", "PHP", 6, 0, 0, 0, 0, 6
"c:\xampp\htdocs\atrodicelabiedru\resources\views\Vehicle\Vehicle.blade.php", "PHP", 13, 0, 0, 0, 0, 13
"c:\xampp\htdocs\atrodicelabiedru\resources\views\Vehicle\create.blade.php", "PHP", 4, 0, 0, 0, 0, 4
"c:\xampp\htdocs\atrodicelabiedru\resources\views\Vehicle\edit.blade.php", "PHP", 5, 0, 0, 0, 0, 5
"c:\xampp\htdocs\atrodicelabiedru\resources\views\Vehicle\show.blade.php", "PHP", 6, 0, 0, 0, 0, 6
"c:\xampp\htdocs\atrodicelabiedru\resources\views\auth\login.blade.php", "PHP", -3, 0, 0, 0, 0, -3
"c:\xampp\htdocs\atrodicelabiedru\resources\views\navbar\app.blade.php", "PHP", 3, 0, 0, 0, 1, 4
"c:\xampp\htdocs\atrodicelabiedru\resources\views\traveling\gallery.blade.php", "PHP", 50, 0, 0, 0, 1, 51
"c:\xampp\htdocs\atrodicelabiedru\resources\views\welcome.blade.php", "PHP", 10, 0, 0, 0, -1, 9
"c:\xampp\htdocs\atrodicelabiedru\routes\web.php", "PHP", 13, 0, 0, 0, -1, 12
"Total", "-", 234, -31, 166, -9, -14, 346
